snap(-45,-33,-16)
sky(191,227,255)
fog(199,211,240)

ground(192,188,212)
set(10,-36400,8765,180)p
set(49,-35700,7365,180)
set(49,-37100,4565,0)
set(49,-37100,7365,0)
set(49,-35700,4565,180)
set(10,-36400,14365,180)p
set(49,-37100,10165,0)
set(49,-35700,10165,180)
set(54,-35700,15075,0)
set(54,-35700,16725,0)
set(54,-37100,16725,0)
set(54,-37100,15075,0)
set(10,-36400,19965,180)
set(54,-35700,18300,0)
set(54,-37100,18300,0)
set(10,-36400,25565,180)
set(50,-36400,21960,0)pr
set(10,-36400,31165,180)
set(52,-36700,29000,0)
set(52,-35996,32526,0)pr
set(10,-36400,36765,0)p
set(10,-36400,42365,0)p
set(51,-36400,36625,0)
set(14,-36400,46915,0)pt
set(10,-31850,46915,-90)
chk(40,-31925,46915,90)
set(14,-27300,46915,-90)pt
set(10,-27300,42365,180)p
set(10,-27300,36765,0)p
set(56,-27300,31767,180)pr
set(57,-27300,28966,180)pr
set(60,-27300,26175,180)pr
set(58,-27300,22881,180)pr
set(59,-27300,19784,180)pr
set(61,-27300,17545,180)
chk(64,-27300,17825,0,-3202)
set(59,-27300,15306,0)pr
set(58,-27300,12209,0)pr
set(60,-27300,8915,0)pr
set(57,-27300,6124,0)pr
set(10,-27300,-1675,180)
set(56,-27300,3323,0)pr
set(10,-27300,-12363,0)
set(10,-27300,-22291,0)
set(28,-27300,-17327,0)pr
chk(40,-27300,-24602,0)
set(20,-27300,-27891,0)p
set(17,-27300,-32441,90)pt
set(15,-22750,-32441,-90)
set(33,-24290,-32441,-90)
set(33,-21420,-32441,-90)pr
set(15,-17150,-32441,90)
set(33,-18714,-32441,-90)
set(33,-16090,-32441,-90)pr
set(16,-11550,-32441,-90)p
set(17,-7000,-32441,180)pt
set(17,-7000,-28941,0)
chk(42,-5452,-28941,90)
set(17,-3500,-28941,-90)pt
set(17,-3500,-32441,90)
chk(42,-1750,-32441,90)
set(17,0,-32441,180)pt
set(15,0,-27891,0)
set(24,0,-25091,0)
set(33,0,-27150,0)
set(33,0,-25428,0)pr
set(10,0,-16800,0)p
set(10,0,-11200,0)
set(32,350,-9895,0)
set(32,350,-12973,0)
set(32,-350,-11623,0)pr
set(10,0,-5600,0)
set(32,-350,-8400,0)
chk(40,0,-2375,0)
set(23,-36400,-5235,0)
set(23,-36375,-9731,-90)
set(23,-36375,-9731,90)
set(37,-37050,-9704,180)
set(37,-35646,-9677,180)
fix(41,-16320,-43750,-5000,90)
set(23,-18032,-43750,90)
set(37,-18524,-43750,-90)
set(37,-19876,-43616,0)
set(37,-17216,-43980,0)
set(23,0,-19600,0)
set(23,-27300,-9563,180)
set(29,-27300,-6639,180)
set(24,-14386,-25700,180)
set(15,-14386,-22900,180)
set(63,-14017,-22410,180)
set(63,-14673,-21261,-90)
set(63,-14878,-24869,90)
set(62,-14755,-24008,-90)
set(62,-13935,-24869,90)
set(62,-14714,-25935,0)
set(63,-14714,-22498,0)
set(15,-14386,-17300,180)
set(63,-14017,-20400,180)
set(15,-14386,-11700,0)
set(53,-14386,-16092,0)
set(62,-14345,-11631,-90)
set(62,-14714,-9868,0)
set(63,-14714,-12451,0)
set(63,-14099,-12984,-90)
set(63,-14386,-10729,90)
set(62,-14714,-13968,180)
set(15,-14386,-6100,0)
set(63,-14386,-8023,180)
set(63,-14058,-9171,-90)
set(15,-14386,-500,0)
set(55,-14386,-5352,180)
set(15,-14386,5100,180)
set(63,-14017,5845,0)
set(63,-14632,4820,-90)
set(24,-14386,7900,0)
set(62,-14386,7772,0)
set(62,-14755,6624,90)
set(65,1721,1695,0)
set(66,-1578,1521,180)
set(65,2153,6102,0)
set(65,-4068,14060,90)
set(65,4132,23000,180)
set(65,12872,17120,-90)
set(65,20328,9440,0)
set(65,11508,6740,90)
set(65,18276,-4548,180)
set(65,10796,-14764,-90)
set(66,2054,-11139,0)
set(66,-2658,-4784,90)
set(66,2612,-4877,180)
set(66,-3364,3716,-90)
set(66,6577,8697,0)
set(66,-3798,16290,90)
set(66,5616,18837,180)
set(66,-1775,23441,-90)
set(66,17906,22561,0)
set(66,12977,23584,90)
set(66,13470,9306,180)
set(66,10486,2500,-90)
set(66,-2553,-18702,0)
set(66,2190,-15974,90)
set(67,-2740,-18335,-90)
set(67,-2275,-11720,0)
set(67,3725,-6100,90)
set(67,-2885,-1595,-90)
set(67,-2015,11115,0)
set(67,3230,17455,90)
set(67,11670,19260,180)
set(67,6930,4570,-90)
set(68,3240,3940,90)
set(68,-1820,20710,180)
set(68,10390,12210,-90)
set(68,-3750,-15530,0)
set(68,3240,-7650,90)
set(69,-3810,-11380,180)
set(69,3800,-1390,-90)
set(69,9690,-7400,0)
set(69,-4520,8500,90)
set(69,15330,23630,180)
set(69,8910,16790,-90)
set(69,17580,10030,0)
set(73,13300,-8776,90)
set(73,18983,-15330,180)
set(73,12864,-19388,-90)
set(73,17636,-27415,0)
set(73,13952,-32180,90)
set(73,18282,-30184,180)
set(73,13471,-28909,-90)
set(73,13086,-12143,0)
set(73,18628,-12177,90)
set(73,12758,-857,180)
set(73,18306,-1810,-90)
set(74,18476,-2813,0)
set(74,17609,-552,90)
set(74,13089,-5123,180)
set(74,17917,-7469,-90)
set(74,11493,-11371,0)
set(74,12972,-14822,90)
set(74,18798,-18237,180)
set(74,13341,-18118,-90)
set(74,12263,-17564,0)
set(74,17592,-22235,90)
set(74,18493,-21810,180)
set(74,18060,-25470,-90)
set(74,13283,-27170,0)
set(74,13572,-30315,90)
set(74,18242,-33428,180)
set(75,13038,364,-90)
set(75,12613,-2203,0)
set(75,18427,1503,90)
set(75,13140,4075,180)
set(75,18183,-9282,-90)
set(75,18149,-11135,0)
set(75,12947,-7225,90)
set(75,18633,-19843,180)
set(75,19313,-26992,-90)
set(75,13347,-23531,0)
set(75,17612,-31823,90)
set(75,18326,-28814,180)
set(75,11568,-29925,-90)
set(75,11126,-31795,0)
set(74,10599,-29058,90)
set(74,9681,-27341,180)
set(74,10599,-27120,-90)
set(70,13308,-38004,0)
set(70,17620,-35960,90)
set(70,17064,-44088,180)
set(70,8328,-42156,-90)
set(70,6620,-45852,0)
set(70,-5628,-41464,90)
set(70,1232,-47024,180)
set(70,-10100,-41656,-90)
set(70,-17768,-40884,0)
set(70,-24656,-46412,90)
set(70,-32952,-40660,180)
set(70,-38448,-39356,-90)
set(70,-35480,-30844,0)
set(70,-39868,-25444,90)
set(70,-31724,-17364,180)
set(70,-38932,-11500,-90)
set(70,-33236,-6060,0)
set(70,-38708,-476,90)
set(70,-33164,5004,180)
set(70,-39324,9848,-90)
set(70,-34080,16416,0)
set(70,-34196,20532,90)
set(70,-39460,26896,180)
set(70,-32520,34292,-90)
set(70,-39184,35636,0)
set(70,-39460,45104,90)
set(70,-32012,44516,180)
set(70,-31732,49480,-90)
set(70,-23888,41944,0)
set(70,-30216,37408,90)
set(70,-24868,38248,180)
set(70,-24372,-528,0)
set(70,-29892,-9840,90)
set(70,-24060,-13596,180)
set(70,-30104,-21660,-90)
set(70,-22424,-25096,0)
set(71,13368,-40720,90)
set(71,18380,-40832,180)
set(71,11324,-46452,-90)
set(71,4632,-41524,0)
set(71,1776,-45808,90)
set(71,-7696,-40780,180)
set(71,-1300,-46540,-90)
set(71,-8860,-45868,0)
set(71,-18352,-46280,90)
set(71,-25968,-41204,180)
set(71,-31548,-46948,-90)
set(71,-34460,-46192,0)
set(71,-39100,-41024,90)
set(71,-34396,-32988,180)
set(71,-40844,-32636,-90)
set(71,-40648,-27932,0)
set(71,-31980,-24604,90)
set(71,-39284,-17356,180)
set(71,-38724,-21288,-90)
set(71,-33472,-12440,0)
set(71,-38168,-5996,90)
set(71,-40668,-468,180)
set(71,-38556,5340,-90)
set(71,-33500,8952,0)
set(71,-38332,14676,90)
set(71,-38456,20376,180)
set(71,-33456,27348,-90)
set(71,-38844,32932,0)
set(71,-34204,38712,90)
set(71,-38652,40940,180)
set(71,-34992,49576,-90)
set(71,-25240,49600,0)
set(71,-25072,44224,90)
set(71,-31036,42376,180)
set(71,-23432,33824,-90)
set(71,-30048,32904,0)
set(71,-30264,-944,90)
set(71,-23728,-8808,180)
set(71,-29784,-14948,-90)
set(71,-22508,-20348,0)
set(72,10028,-39392,90)
set(72,-556,-41824,180)
set(72,-4208,-45012,-90)
set(72,-14748,-43635,0)
set(72,-21118,-41723,90)
set(72,-30076,-45517,180)
set(72,-37954,-43966,-90)
set(72,-33807,-36319,0)
set(72,-39559,-34058,90)
set(72,-33648,-27205,180)
set(72,-33270,-21913,-90)
set(72,-38148,-16573,0)
set(72,-33190,-14031,90)
set(72,-39572,-8800,180)
set(72,-33879,-3022,-90)
set(72,-33432,4062,0)
set(72,-34197,14533,90)
set(72,-38046,18588,180)
set(72,-33151,25415,-90)
set(72,-39113,30260,0)
set(72,-37260,48365,90)
set(72,-25252,47726,180)
set(72,-30361,39151,-90)
set(72,-25164,29975,0)
set(72,-30059,-4836,90)
set(72,-24349,-3920,180)
set(72,-25370,-18585,-90)

maxl(21,-44538,-46674)
maxb(14,-49074,-42138)
maxr(21,22662,-46674)
maxt(14,51726,-42138)
