snap(-2,-14,-40)
sky(201,220,255)
fog(223,210,189)
clouds(255,255,255,2,-1500)
ground(173,191,156)
set(23,-51780,56975,180)
set(60,-51780,53710,180)pr
set(57,-51780,56501,180)pr
set(10,-51780,64300,0)
set(56,-51780,59302,180)pr
set(14,-51780,68850,0)pt
set(13,-47200,70370,120)
set(12,-47200,67330,-120)
set(23,-44370,65810,90)
set(26,-43525,65810,-90)pr
set(23,-32350,64860,-90)p
set(13,-29520,66380,-60)p
set(12,-29520,69420,60)p
set(23,-32350,70940,-90)p
fix(41,-41025,71890,-3400,90)
set(23,-43375,71890,90)
set(50,-42890,71890,-90)pr
set(44,-38425,54125,0)p
set(63,-38634,54226,0)
set(62,-38742,52836,-90)
set(43,-38425,48525,180)p
set(63,-38675,49900,-90)
set(63,-38425,49024,180)
set(62,-38148,50703,0)
set(62,-38634,46877,90)
set(63,-38769,51742,-90)
set(63,-38148,47875,180)
set(44,-38425,42925,180)p
set(63,-38634,42594,0)
set(62,-38148,44042,180)
set(63,-38661,45510,90)
set(24,-38425,40125,180)p
set(62,-38715,41325,-90)
set(63,-38148,40200,0)
set(23,-58595,26300,90)
set(31,-60275,26300,-90)pr
set(24,-38425,56925,0)p
set(63,-38550,57275,90)
set(62,-38148,55905,180)
set(10,-23890,67900,-90)p
set(14,-19340,67900,-90)pt
set(10,-19340,63350,0)
chk(40,-19340,64675,0)
set(10,-19340,57750,0)
set(10,-19340,52150,0)
set(49,-18640,56350,180)
set(49,-18640,53550,180)
set(49,-20040,53550,0)ph
set(49,-20040,56350,0)
set(10,-19340,46550,0)
set(49,-18640,47950,180)ph
set(49,-20040,50750,0)
set(49,-20040,47950,0)
set(49,-18640,50750,180)
set(10,-19340,40950,0)
set(49,-20040,39550,0)
set(49,-18640,36750,180)
set(49,-20040,36750,0)
set(49,-18640,39550,180)
set(49,-18640,42350,180)
set(49,-20040,45150,0)
set(49,-20040,42350,0)
set(49,-18640,45150,180)ph
set(10,-19340,24150,0)
set(49,-20040,22750,0)
set(49,-18640,22750,180)
set(49,-18640,25550,180)
set(49,-20040,25550,0)
set(49,-20040,28350,0)
set(49,-18640,28350,180)
chk(40,-19340,24150,0)
set(23,-19340,16100,180)
set(56,-19340,19152,180)pr
set(10,-19340,13300,0)
set(57,-19340,16351,180)pr
set(23,-23100,12000,90)
set(23,-15575,12000,-90)
set(23,-15575,12000,90)
set(10,-19340,7700,0)
set(51,-15575,12000,0)
set(23,-23100,12000,-90)
set(51,-23100,12000,0)
set(58,-19340,13066,180)pr
set(10,-19340,2100,0)
set(58,-19340,8524,0)pr
set(23,-15575,2325,-90)
set(23,-15575,2325,90)
set(51,-15575,2325,0)
set(23,-23100,2325,90)
set(23,-23100,2325,-90)
set(51,-23100,2300,0)
set(58,-19340,4736,180)pr
set(10,-19340,-3500,0)
set(59,-19340,1639,180)pr
set(59,-19340,-39,0)pr
set(23,-19340,-6300,0)
set(58,-19340,-3136,0)pr
set(57,-19340,-6421,0)pr
set(14,-19340,-13170,90)
set(56,-19340,-9222,0)pr
set(10,-14790,-13170,90)p
set(13,-9160,-11650,-60)p
set(23,-6330,-10130,90)
chk(40,-5340,-10150,90)
set(23,-1750,-10150,-90)p
set(14,0,-10150,180)pt
set(10,0,-5600,0)p
set(15,-36401,13480,-90)
set(24,-33601,13480,-90)
fix(41,-39201,13480,-1760,90)
set(24,-39201,13480,90)
set(55,-37285,13480,90)
set(24,-38525,1496,-90)
set(15,-41325,1496,-90)
set(24,-44125,1496,90)
set(55,-42464,1496,90)
set(44,-5550,63350,0)
set(44,-5550,57750,180)
set(35,-5550,60550,0)
set(16,-5550,52150,180)
set(15,-5550,46550,180)
set(35,-5900,46900,0)
set(15,-5550,40950,180)
set(35,-5300,44025,0)
set(24,-5550,38150,180)
set(35,-5550,40350,0)
set(23,-69184,26300,-90)
set(24,-5550,66150,0)

maxl(19,-86056,-14048)
maxb(19,-16448,-83656)
maxr(19,5143,-14048)
maxt(19,74751,-83656)

