snap(15,-4,-21)
sky(187,195,227)
fog(204,186,176)
clouds(255,228,228,3,-1437)
ground(192,176,152)
set(14,55020,43750,-90)pt
set(10,55020,39200,180)
set(54,54320,39096,0)
set(54,54320,37968,0)
set(54,55720,37968,0)
set(54,55720,39096,0)
chk(40,55020,37175,0)
set(10,55020,33600,180)
set(54,55720,34944,0)
set(54,54320,36048,0)
set(54,54320,33744,0)
set(54,52360,35424,180)
set(54,54320,34920,0)
set(54,55720,33756,0)
set(54,55720,36076,0)
fix(41,55020,25200,-7000,0)
set(10,55020,28000,180)
set(50,55020,31400,180)pr
fix(41,55020,21202,-8000,0)
set(10,55020,22400,180)p
set(10,55020,16800,180)p
set(51,51660,19275,180)
set(10,55020,11200,180)
set(29,51660,11900,180)pr
set(10,55020,5600,180)p
set(10,55020,0,180)p
set(14,55020,-4550,180)pt
set(10,50470,-4550,90)
chk(40,48498,-4550,90)
set(10,44870,-4550,90)p
set(38,45570,-4550,-90)
set(38,44570,-4550,-90)
set(38,46570,-4550,-90)
set(22,41510,-4550,-90)p
set(38,43570,-4550,-90)
set(38,42570,-4550,-90)
set(10,38150,-4550,90)
set(38,38450,-4550,-90)
set(38,40450,-4550,-90)
set(38,41570,-4550,-90)
set(38,39450,-4550,-90)
set(38,37450,-4550,-90)
set(10,32550,-4550,90)
set(50,34500,-4550,90)pr
set(10,26950,-4550,90)
set(53,29625,-2425,90)pr
set(10,21350,-4550,90)
set(10,15750,-4550,90)p
set(10,10150,-4550,90)p
set(10,4550,-4550,90)
chk(40,6825,-4550,90)
set(14,0,-4550,90)pt
set(44,26678,32515,0)
set(43,26678,26915,180)
fix(41,26678,18798,-1500,0)
set(43,26678,21315,0)
set(55,26678,22880,0)
set(43,26678,15715,0)
set(43,26678,10115,0)
set(55,26678,14690,180)
set(44,26678,4515,180)
set(24,26678,35315,0)
set(24,26678,1715,180)
set(53,25600,-2500,-90)pr
set(24,41652,3444,180)
set(24,13841,3444,180)
set(44,41652,6244,180)
set(62,41426,5100,0)
set(63,42064,4000,0)
set(44,41652,11844,0)
set(35,42064,9300,180)
set(63,42064,12688,0)
set(63,41450,11200,90)
set(16,41652,17444,0)
set(15,41652,23044,0)
set(35,41426,24488,0)
set(63,41340,21170,90)
set(63,42064,22358,0)
set(24,41652,31444,0)
set(16,41652,28644,0)
set(63,41450,31910,-90)
set(44,13841,6244,180)
set(43,13841,11844,180)
set(43,13841,17444,180)
set(43,13841,23044,180)
set(34,13841,18775,0)
set(43,13841,28644,180)
set(44,13841,34244,0)
set(24,13841,37044,0)

maxl(12,-3690,-6487)
maxb(13,-8887,-1290)
maxr(12,58710,-6487)
maxt(13,48713,-1290)
